city,store_address,store_email,store_phone,store_name
Bangalore,"HM VIBHA TOWER, Ward No.63, Koramangla, Bangalore - 560029, Karnataka, India
        ",starhelp@trent-tata.com,9029002233,Kormangala
Bangalore,"Star Bazaar,18/2 Gopalan, The Arch Mall, Mysore Road, Rajarajeshwari Nagar, Bangalore - 560098, Karnataka, India
        ",starhelp@trent-tata.com,9029002233,RR Nagar
Bangalore,"Star Extra, SJR - Zion, S. No. 42/5, Opposite Shankar eye Hospital, Near Kundalahalli Gate signal, Next to Golconda Chimney Restaurant, Munnekolau Village, Varthur, Bangalore - 560037, Karnataka, India
        ",starhelp@trent-tata.com,9029002233,Varthur
Bangalore,"Tesco Bengaluru Campus’, situated at No. 81 & 82, EPIP Area, Whitefield, Bangalore - 560066, Karnataka, India
        ",starhelp@trent-tata.com,9029002233,"HSC, TESCO Campus"
Bangalore,"Star  Market,VGR ESSOR, 17th Cross, 5th Main, HSR Layout 7th Sector, Bangalore - 560102, Karnataka, India
        ",starhelp@trent-tata.com,9029002233,HSR
Bangalore,"Star Market ,BMTC ISRO Layout bus station complex, Bikasipura, ISRO Layout, Suaramanyapura Post, Bangalore - 560061, Karnataka, India
        ",starhelp@trent-tata.com,9029002233,ISRO
Bangalore,"Star Market, Girija Shankara Towers Sy No. 157/1, Begur Village, Bengur Hobali , Singasandra Main Road, Bangalore - 560068, Karnataka, India
        ",starhelp@trent-tata.com,9029002233,Singasandra
Bangalore,"Akshay Nagar, Ground Floor, 5, 6 and 7, Yalenahalli, Akshaya Nagara, Bangalore - 560068, Karnataka, India
        ",starhelp@trent-tata.com,9029002233,Akshay Nagar
Bangalore,"20/8, Ranka Colony Road, Bilakehalli, Bannergatta Road, Bangalore - 560076, Karnataka, India
        ",starhelp@trent-tata.com,9029002233,Ranka Colony
Bangalore,"G & 1st, Apple City, Vinayaka Nagar, Gunjur, Bangalore - 560087, Karnataka, India
        ",starhelp@trent-tata.com,9029002233,Gunjur
Bangalore,"Seegehalli - Kannamangala Rd, Vastu Bhoomi, Krishnarajapura, Bengaluru, Karnataka 560067, Bangalore - 560067, Karnataka, India
        ",starhelp@trent-tata.com,9029002233,Kadugodi
Bangalore,"VK Murthy Farmhouse, Immadahalli Road, Whitefield, Bangalore-560066, Bangalore - 560066, Karnataka, India
        ",starhelp@trent-tata.com,9029002233,Immadahalli
Bangalore,"No. 1554/57 Vidyaranpura main road, tindlu, near nanjappa circle, Bengaluru, Karnataka, Bangalore - 560097, Karnataka, India
        ",starhelp@trenthyper-tata.com,9029002233,Vidyaranyapura
Bangalore,"Umiya Velocity, Godrej Woodsman Estate, Hebbal Kempapura, Bengaluru, Karnataka- 560024, Bangalore - 560024, Karnataka, India
        ",Starhelp@trent-tata.com,9029002233,Umiya Velocity
Bangalore,"Suryashakti, Hoodi Junction, KR Puram, Bangalore - 560048, Bangalore - 560048, Karnataka, India
        ",,,Hoodi
Bangalore,"Ground Floor, YGR Signature Mall, Kenchenahalli, R R Nagar, Bangalore - 560098, Bangalore - 560098, Karnataka, India
        ",,,Kenchanahalli
Bangalore,"Beside Yelachenahalli Metro Station, Kanakpura Road, Bangalore - 560062, Bangalore - 560062, Karnataka, India
        ",,,Kanakpura
Hyderabad,"STAR Gachhibowli, Sandhya Convention Centre, Gachibowli Village, Gachibowli Village, Ranga Reddy, Hyderabad - 500032, Telangana, India
        ",starhelp@trent-tata.com,9029002233,Gachibowli
Hyderabad,"Ground Floor, Ratnam, Survey Number 57/A and 69/3, Saheb Nagar, Khurd (V), Abutting NH 65 (Old 9), Main Road, Chintalkunta, Vanasthalipuram, LB Nagar, Hyderabad - 560074, Telangana, India
        ",starhelp@trent-tata.com,9029002233,Vanasthalipuram
Hyderabad,"Ashoka Garden, Survey No. 129/1, opp Bapuji Nagar, Bowenpally
Secundarabad, Telangana 500011, Hyderabad - 500011, Telangana, India
        ",Starhelp@trent-tata.com,9029002233,Ashoka Garden
Hyderabad,"Ground floor, Edara Cygnus, Silpa Park, Kondapur, Serillingampally Mandal, Hyderabad-500084, Hyderabad - 560024, Telangana, India
        ",Starhelp@trent-tata.com,9029002233,Shilpa Park
Hyderabad,"G S Centre Point, Punjagutta Circle, Hyderabad - 500082, Hyderabad - 500082, Telangana, India
        ",,,G S Centre Point
Hyderabad,"Lingojiguda, Sagar Road, Karmanghat, Hyderabad - 500079, Hyderabad - 500079, Telangana, India
        ",,,Karmanghat
Hyderabad,"VBR Garden, Ambedkar Nagar, Hight enation Road, Alwal, Hyderabad - 500010, Hyderabad - 500010, Telangana, India
        ",,,Alwal
Kolhapur,"Star Bazaar, Ghatge Patil Automobiles, # 517 E, Old Pune Bangalore Road, Opp to Hotel Victor Palace, Kolhapur - 416001, Maharashtra, India
        ",starhelp@trent-tata.com,9029002233,Ruikar Colony
Mumbai,"Star Bazaar, Crystal Point, Off New Link Road, Andheri (West), Mumbai - 400053, Maharashtra, India
        ",starhelp@trent-tata.com,9029002233,Andheri West
Mumbai,"Star Market, Aarambh Shreeji, Near Mcdonald, Mira Road (East), Mumbai - 401107, Maharashtra, India
        ",starhelp@trent-tata.com,9029002233,Mira Road
Mumbai,"Plot No. 122, C.S. No. 1567 of Fort Division, Ground floor, Mistry Bhavan, Dinshaw Vachha Road, Churchgate, Mumbai - 400020, Maharashtra, India
        ",starhelp@trent-tata.com,9029002233,Churchgate
Mumbai,"Emerald Plaza, Block no 4, 1 st floor, 102 & 103, Gladys Alvares Road, Pokhran Road 2, Hiranandani, Meadows, Thane West, Mumbai - 400610, Maharashtra, India
        ",starhelp@trent-tata.com,9029002233,Thane West
Mumbai,"Tania Horizon, Opp Dandavate Hospital, Nallasopara Station Road, Nallasopara (W), Mumbai - 401203, Maharashtra, India
        ",starhelp@trent-tata.com,9029002233,Nalasopara
Mumbai,"Avenue N,
Opposite Yazoo park,
Evershine Globle City, Dongarpada , Rustomjee Global
City, Virar West, Maharashtra, Mumbai - 401303, Maharashtra, India
        ",Starhelp@trent-tata.com,9029002233,Virar
