id_store_locator,latitude,longitude,store_name,retek_code,storeId,shop_opens_days,open_timings,closing_time,pincode,search_word,address,phone_number,store_manager_contact,whatsapp_number,store_image,gender,is_omnienable,hyperlocal_enabled,alteration,is_active,id_brand,distance,is_express_delivery_flag,static_msg,state,brand,timeLineMsg
213,17.441372,78.490234,"LP Flagship Park Lane, Secunderabad",11040,11040,,,,500003,"Parklane, Secunderabad,500009,500026,500003,500025,530020","Louis Philippe, 1/2/235/D Park Lane, Secunderabad-500003",040 27720115,9763606923,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,0,1,1,3,6.827153641741867,0,,Telangana,louis-philippe,
7898,17.429438,78.410011,Louis Philippe,15355,15355,,,,500033,,"Louis Philippe,8-2-293/82/A/1202 & 1215A/GF3/FF3,Road no-36, Jubilee Hills Hyderabad, Telangana- 500033",04049524338,8722232387,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,1,1,1,3,7.317274317179061,0,,Telangana,louis-philippe,
4737,17.41,78.540001,Louis Philippe,13764,13764,,,,500007,"500062,500039,500076,500083,506348","Louis Philippe, Ground & First Floor No: 1-3-1/2/A, Block 3, Kakateeya Nagar Society, Habsiguda Main Road,Uppal Kalan Municipality, R.R Dist, Opp Metro Piller No: 972, Hyderabad-500 007.",040-42611489,8121119889,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,1,1,1,3,8.689308064148225,0,,Telangana,louis-philippe,
311,17.417645,78.543106,"LP Flagship Habsiguda, Hyderabad",13253,13253,,,,500007,"Habsiguda, Hyderabad,500007","Louis Philippe, Ground & First floor no 1-3-1/2/A block 3 kakteeya nagar society, Habsiguda main road, uppal kalan municipality RR district Hyderabad-500007",040 40065445,8871171000,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,0,0,1,3,9.288982627518186,0,,Telangana,louis-philippe,
7425,17.358074,78.544731,Louis Philippe,315694,315694,,,,500074,,"Louis Philippe, Shutter No.s 9,10 and 11, 11-15-12/4, Ground and First Floor, Doctors Colony, Saroor Nagar, L B Nagar, Hyderabad, Telangana ",0404857 2226,0404857 2226,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,0,1,1,3,9.3200546554812,0,,Telangana,louis-philippe,
6316,17.434898,78.387039,Louis Philippe,13788,13788,,,,500081,,Inorbit Mall Madhapur APIIC Software layout Hyd-500081,8801416383,8801416383,8801416383.0,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,1,1,1,3,9.621781414762928,0,,Telangana,louis-philippe,
347,17.480198,78.417107,LP Sports Forum sujana Mall,13251,13251,,,,500072,"Forum Sujana Mall, Hyderabad,500072","Louis Philippe, upper ground Floor # 25 Forum Sujana Mall, Kukatpally, Hyderabad-500072",040 30534052,9120421489,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,0,0,1,3,11.486023857640124,0,,Telangana,louis-philippe,
346,17.480198,78.417107,LP Mainline Forum sujana Mall,13789,13789,,,,500072,"Forum Sujana Mall, Hyderabad,500090,500018,500090,500085,500049","Louis Philippe, #121 First floor, Forum Sujana Mall, Kukatpally, Hyderabad-500072",040 30534051,9963977040,9963977040.0,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,0,0,1,3,11.486023857640124,0,,Telangana,louis-philippe,
5950,17.43,78.360001,Louis Philippe,13735,13735,,,,500032,,"Louis Philippe, Ground Floor,Raichandani Complex,Survey No.50,Plot No.2,House No.1-73/D/2&13,Gachibowli ,Near Flyover,Hyderabad-500032",040-42038135,8886400554,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,1,1,1,3,11.86775024754975,0,,Telangana,louis-philippe,
4489,17.458202,78.36441,Louis Philippe,13380,13380,,,,500084,"500084,500089,500049","LOUIS PHILIPPE ,UNIT NO , UG-113 UPPER GROUND FLOOR SARATHCITY CAPITAL,MALL KOTHAGUDA VILLAGE ,SERILINGAMPALLY,MANDAL,R.R DISTRICT HYDERABAD -500084
",040-68218148,,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,1,1,1,3,13.088118925544398,0,,Telangana,louis-philippe,
4401,17.4576,78.363899,Allen Solly SARATH CITY CAPITAL MALL,34535,34535,,,,500084,"500084, 500085","Allen Solly, Unit No. 1F-109, 1st floor, Sarathcity Capital mall, Kothaguda Village, Serilingampally Mandal, R.R District Hyderabad - 500084",040-38325045,8074860063,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,0,0,1,3,13.090320290044929,0,,Telangana,louis-philippe,
5900,17.4576,78.363899,Allen Solly SARATH CITY CAPITAL MALL- WW,34578,34578,,,,500084,,"Allen Solly, Unit No. 1F-078, 1st floor, Sarath city Capital mall, Kothaguda Village, Serilingampally Mandal, R.R District Hyderabad - 500084",040-68218385,8236085886,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,0,0,1,3,13.090320290044929,0,,Telangana,louis-philippe,
4487,17.45816,78.362854,Louis Philippe,13379,13379,,,,500084,"500084,500089,500049","LOUIS PHILIPPE ,UNIT NO 1F-021 FIRST FLOOR SARATHCITY CAPITAL MALL KOTHAGUDA VILLAGE ,SERILINGAMPALLY MANDAL,R.R DISTRICT HYDERABAD -500084
",040-68218146,,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,1,1,1,3,13.216305396101053,0,,Telangana,louis-philippe,
133,17.484301,78.389099,Allen Solly FORUM SUJANA MALL WW,34910,34910,,,,500072,"Forum Sujana Mall, Hyderabad,500085, 500081","Allen solly, #202,Second Floor,Forum Sujana Mall Kukkatpally, Hyderabad-AP 500072",040-30534141,7416861306,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,Womens,0,0,0,1,3,13.371690193134064,0,,Telangana,louis-philippe,
8146,17.48,78.379997,Louis Philippe,15362,15362,,,,500072,,"#121,122, First Floor Forum Sujana Mall Kukatpally,Hyderabad
",04030534051,9640944213,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,1,1,1,3,13.581834280819969,0,,Telangana,louis-philippe,
4740,17.51,78.480003,Louis Philippe,13728,13728,,,,500067,"500090,500055,500010,500015","shop no2&3,Door no 8-15/3,plot no 2&3,Qutubullahpur,kompally,hyderabad-500067",040-27165511,9000647080,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,1,1,1,3,13.89779890185248,0,,Telangana,louis-philippe,
7478,17.48,78.550003,Louis Philippe,3350,3350,,,,560076,,"Louis Philippe, F17 1st Floor, Vega Mall, #172/1, Srinivas Industrial Estate, Bannerghatta Road, Bangalore - 560 076",9663689091,9663689091,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,0,0,1,3,13.998101067064567,0,,Telangana,louis-philippe,
4739,17.48,78.550003,Louis Philippe Hyderabad,13743,13743,,,,500062,"500094,500083,500087,500047,","LOUIS  PHILLIPE , PLOT NO.1, H.NO.1-19-70/1 AND 1-19-70/1/A,J.S.R, HEIGHTS,BRUNDAVAN COLONY, Dr.A.S RAO NAGAR, KAPRA HYDERABAD- 500062",040-48523795,040-48523795,0.0,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,0,0,1,3,13.998101067064567,0,,Telangana,louis-philippe,
4607,17.518101,78.481903,Allen Solly Kompally,33731,33731,,,,500036,"500067, 500010","ALLEN SOLLY, Shop No 4, Plot No 2&3, Qutubullahpur, Kompally, Hyderabad",040-27165522,9700244961,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,0,0,1,3,14.817868931202929,0,,Telangana,louis-philippe,
5953,17.49,78.339996,Louis Philippe,13734,13734,,,,500049,,"LOUIS PHILIPPE,SHOP NO-6, GROUND FLOOR,RAICHADANI COMPLEX,SURVEY NO 111, MADINAGUDA VILLAGE,SERILINGAMPALLY MANDAL,R R DIST,HYDERABAD-500049",040-48518390, 9052248189,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,1,1,1,3,10.183046266526194,0,,Telangana,louis-philippe,
5903,17.495399,78.340401,Allen Solly Madinaguda,34569,34569,,,,500049,,"Allen Solly, Shop No 5, Ground Floor, Raichadani Compleax, Survey No 111, Madinaguda Village, Serilingampally Mandal, R.R. District, Hyderabad - 500049",040-48538870,9032190987,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,0,0,1,3,10.297326352510655,0,,Telangana,louis-philippe,
7931,17.998322,79.554855,Louis Philippe,19759,19759,,,,506001,,"1-8-526 AND 1-8-526/1, NAKKALAGUTTA, HANAMKONDA, WARANGAL, TELANGANA - 506001
",7207890007,7207890007,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,1,1,1,3,11.29565934521987,0,,Telangana,louis-philippe,
312,18.020926,79.551468,LP Flagship Warangal,13255,13255,,,,506002,"Vidyaranyapuri, Warangal,506348,506009,506003,506001,506011,506370","Louis Philippe, No 5-11, 503 & 504, Kandlakanta complex, Kakathiya university road, Warangal -506002",0870 2422143,9971876572,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,0,1,1,3,13.46403010599302,0,,Telangana,louis-philippe,
8788,17.070744,79.262711,Nalgonda,19075,19075,,10:00am,9:00pm,508001,,"Ground & First Floor, D.No : 6-6-440&441, Old Mytri Collage Building, VT Colony, Hyderabad Road, Nalgonda-508001, Telangana 
",8682293335,8682293335,9177637604.0,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,0,0,1,3,2.537841185119058,0,,Telangana,louis-philippe,
8791,17.259621,80.155983,Khammam,17818,17818,,10:00am,9:00pm,507001,,"Opposite to RRR Convention Hall, Khammam Bypass Road, Near Khammam Bus Stand, Khammam, Telangana-507001
",8309872736,8309872736,8309872736.0,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,0,0,1,3,10.891452471853144,0,,Telangana,louis-philippe,
7426,18.08674,78.855904,Louis Philippe,315546,315546,,,,502103,,"Louis Philippe, Hyderabad Road opp. MLA Camp Office, Prashanth Nagar, Siddipet, Telangana",084572 30005,084572 30005,,https://imagescdn.louisphilippe.com/img/app/brand/production/1.jpg,,0,0,0,1,3,8.37919605227434,0,,Telangana,louis-philippe,
9028,17.417999,78.448502,MAYUR-GVK BANJARA HILLS-HYDERABAD,318062,318062,,,,500082,,"Reebok Store, Fisrt Floor,GVK Mall, Road No.1,,Banjara Hills,-,HYDERABAD,Telangana-500082",8074903908,8074903908,,https://imagescdn.reebok.in/img/app/brand/production/2.rbk.png,"Mens,Womens,Kids",0,0,0,1,32,3.814979169587178,0,,Telangana,reebok,
9029,17.434,78.386398,Mayur-Inorbit Mall-Hyderabad,318047,318047,,,,500081,,"Reebok Showroom, Unit no F34b, F36&,1 st floor, Inorbit mall,Survey no 64., Hitech City,Madhapur,HYDERABAD,Telangana-500081",9542331353,9542331353,,https://imagescdn.reebok.in/img/app/brand/production/2.rbk.png,"Mens,Womens,Kids",0,0,0,1,32,9.622544157829957,0,,Telangana,reebok,
9031,17.45788,78.36412,Sridevi-Capital Mall RBK-Hyderabad,318378,318378,,,,500084,,"ADIDAS STORE, SARATH CITY,CAPITAL MALL, GROUND FLOOR,134 & 135,GACHIBOWLI -,MIYAPUR ROAD,WHITEFIELDS,HYDERABAD,Telangana-500084",9398893706,9398893706,,https://imagescdn.reebok.in/img/app/brand/production/2.rbk.png,,0,0,0,1,32,13.090617460494222,0,,Telangana,reebok,
9197,17.419601,78.448402,Simon Carter GVK One Mall,53509,53509,,,,500034,,"Simon Carter  Shop No : 2, Lower Ground Floor,GVK-One Mall, Road No : 01 , Banjara Hills ,Hyderabad, Telanagana- 500034",040-42767833,,9513342944,https://imagescdn.simoncarter.in/img/app/brand/production/3_SC.png,Mens,0,1,0,1,12,10.817905456232625,0,,Telangana,simon-carter,
