id,zone_id,external_id,name,slug,description,mobile,landline,address,locality,landmark,city,state,region,country,pincode,lat,long,timings,webpage,exclusive,company_name,branch_store_img,branch_display_number,maps_url,average_rating,total_reviews
001bbf54-f001-4ea0-9b43-d1b7cf552bc1,01ca273f-610c-4686-a319-46317c4515b8,p060,Pantaloons,pantaloons-848byoasx68e6vj,,06366323353,,"Phoenix Market City, Whitefield Road",Singayyanapalya,Inside Phoenix Marketcity Mall,bengaluru,karnataka,south,in,560048,12.99746174,77.69598937,,True,True,Pantaloons,,,https://maps.google.com/maps?cid=13198418259363008309,3.977035490605428,479
01316101-a139-4dbd-bb6f-be6c7e13824b,01ca273f-610c-4686-a319-46317c4515b8,p619,Pantaloons,pantaloons-ta7b5huds1805dz,,07669008454,,"Plot No 4, Ground Floor, Dwarka Soul City Mall, Sector 13",Dwarka,Next to Radisson Blu Hotel,new delhi,delhi,north,in,110075,28.59619925,77.03649247,,True,True,Pantaloons,,,https://maps.google.com/maps?cid=14334991756160782999,4.6118143459915615,4266
0172b3df-9ae7-4515-adfa-e498acc6d4ae,01ca273f-610c-4686-a319-46317c4515b8,p370,Pantaloons,pantaloons-4tg2t80i0xcv7aa,,07506932252,,"Unit No 1 And 1D, Under Ground Floor, Grand Highstreet Shopping Mall, Hinjawadi Phase 2 Road, IndiaLand Global Industrial Park, Taluka Mulshi",Hinjawadi Rajiv Gandhi Infotech Park,Near Wipro,pune,maharashtra,west,in,411057,18.59361243,73.72520997,,True,True,Pantaloons,,,https://maps.google.com/maps?cid=14230379120599933383,4.269938650306749,163
036ddeff-6233-499d-b4cb-3c232102e7b2,01ca273f-610c-4686-a319-46317c4515b8,p615,Pantaloons,pantaloons-eodpkzo2o4mgyvu,,9087771615,,"No 19/2, Ward M, Block 9, Meyyanur Village, 5 Road",Narasothipatti,Nearby Ola Experience Centre,salem,tamil nadu,south,in,636004,11.67590554,78.13240195,,True,True,Pantaloons,,,https://maps.google.com/maps?cid=18021190650317157284,4.060402684563758,149
03c85d1e-2f60-4e95-8cb1-14889bbdbb38,01ca273f-610c-4686-a319-46317c4515b8,p540,Pantaloons,pantaloons-c4cu88veadu5qzs,,08951966226,,"SF No 339/2, TS No 4, Avinasi Road",Gandhinagar,Near SAP Theater,tiruppur,tamil nadu,south,in,641602,11.12915814,77.32802098,,True,True,Pantaloons,,,https://maps.google.com/maps?cid=3086605243638105341,4.033898305084746,177
04d8067d-7889-4ee4-9669-439a0bdadefc,01ca273f-610c-4686-a319-46317c4515b8,p298,Pantaloons,pantaloons-wqndp0d2ramihvk,,08951932124,,"Vivira Mall, Door No 33, Ground Floor and First Floor",Navalur,Near AGS Theater,chennai,tamil nadu,south,in,600130,12.85052779,80.22611419,,True,True,Pantaloons,,,https://maps.google.com/maps?cid=7282508981115117951,3.945205479452055,219
053d6f32-0399-4c3a-b5a6-657b68a3a0e6,01ca273f-610c-4686-a319-46317c4515b8,p345,Pantaloons,pantaloons-ycunci5fu7onpme,,08708907616,,"Eminent City Mall, Bawa Tarana Road",Adarsh Nagar,Near Bus Stand,sonipat,haryana,north,in,131001,28.99682381,77.02613103,,True,True,Pantaloons,,,https://maps.google.com/maps?cid=11707170277615147398,4.134751773049645,282
0593d9f0-ed7c-425f-8fa8-7785fed77337,01ca273f-610c-4686-a319-46317c4515b8,p367,Pantaloons,pantaloons-10wprfxmtu40vv3,,08657958512,,"Western Square Mall, Timbawadi Bypass Raod",Dipanjali,Near Shri Swaminarayan Mandir,junagadh,gujarat,west,in,362001,21.50373124,70.43934902,,True,True,Pantaloons,,,https://maps.google.com/maps?cid=6228077371328507631,4.269113149847095,654
05d5e7b3-3f9b-462a-83e9-031405112c0d,01ca273f-610c-4686-a319-46317c4515b8,p204,Pantaloons,pantaloons-3ka4gefqiwogj7z,,01842258500,,Plot No 98-99,Kunjpura Road,Near Civil Hospital Chowk,karnal,haryana,north,in,132001,29.69467133,76.99458106,,True,True,Pantaloons,,,https://maps.google.com/maps?cid=13355032879835324926,4.150782361308677,703
05dfe4e7-38d5-40fc-865d-a3a82b22ed46,01ca273f-610c-4686-a319-46317c4515b8,p407,Pantaloons,pantaloons-go6740tgutbse73,,07827467399,,"LGF, Gaur City Mall, Plot No C 01B/GH 01, Gaur City 1",Sector 4,Next to Chroma,ghaziabad,uttar pradesh,north,in,201301,28.60570766,77.42972213,,True,True,Pantaloons,,,https://maps.google.com/maps?cid=2719954522336194788,4.2120075046904315,533
063e3398-cd75-4b27-b7f5-8c2fa2b07fe2,01ca273f-610c-4686-a319-46317c4515b8,k003,Pantaloons,pantaloons-1mcdch8r52mf5le,,08657549149,,"Plot No 36/4, Lower Ground Floor, South Avenue Mall, Narmada Road",Polipathar,Near by KFC,jabalpur,madhya pradesh,west,in,482008,23.12438094,79.92751732,,True,True,Pantaloons,,,https://maps.google.com/maps?cid=7578243201451157319,4.15,60
0671702d-6056-40fe-b7a3-be5b6873615f,01ca273f-610c-4686-a319-46317c4515b8,p322,Pantaloons,pantaloons-99p4k667s8bp4qd,,09075001408,,"Shop No 161/1, Westend Mall, Building A, DP Road",Sector 1,Near Parihar Chowk,pune,maharashtra,west,in,411007,18.56079916,73.80699792,,True,True,Pantaloons,,,https://maps.google.com/maps?cid=13384833481605309953,4.2236727589208005,1149
07aab763-3da3-4d94-b6c6-a51b0e5dfbf0,01ca273f-610c-4686-a319-46317c4515b8,p037,Pantaloons,pantaloons-43uaeys13p1bz61,,9513703058,,"Ground Floor, First and Second Floor, Mantri Square Mall, Sampige Road",Malleshwaram,Nearby KFC,bengaluru,karnataka,south,in,560003,12.99126598,77.5709222,,True,True,Pantaloons,,,https://maps.google.com/maps?cid=4203883350503234257,4.09433962264151,53
082ffd51-8a1e-4122-a147-9f06cb0d3a39,01ca273f-610c-4686-a319-46317c4515b8,p108,Pantaloons,pantaloons-kgqhwrqfb8btfkp,,08929301615,,"Ground Floor & First Floor, World Square Mall, Mohan Nagar",Katori Mill,Next to Cinema Box Office,ghaziabad,uttar pradesh,north,in,201007,28.67974446,77.38186742,,True,True,Pantaloons,,,https://maps.google.com/maps?cid=9651151972117105559,4.145510835913313,1292
083a0d28-291c-4108-9d6d-5c7e4d75a0ad,01ca273f-610c-4686-a319-46317c4515b8,p209,Pantaloons,pantaloons-zgdl4wco71iil4e,,09831331040,,"Unimark Square, 20-22B, Grand Trunk Road",Bhadrakali,Near By KFC Restaurant,kolkata,west bengal,east,in,712232,22.67478881,88.35211499,,True,True,Pantaloons,,,https://maps.google.com/maps?cid=10264216333808588813,4.136869679109365,1527
0a36e158-1a89-4243-8552-af22fc6f6d8a,01ca273f-610c-4686-a319-46317c4515b8,p260,Pantaloons,pantaloons-3z9a67kfp6ekkfz,,09899926261,,"Lake City Mall, Shop No 5 & 6, Plot No 1, University Road",Shakti Nagar,Near Ayad Bridge,udaipur,rajasthan,north,in,313001,24.58637866,73.71054842,,True,True,Pantaloons,,,https://maps.google.com/maps?cid=13580968774422383918,4.818735719725819,5252
0ab881d3-2279-4ecb-84bc-3afc9407969f,01ca273f-610c-4686-a319-46317c4515b8,p267,Pantaloons,pantaloons-f4yozvye9z978yp,,09088799930,,"Sentrum Mall, NH 34",Krishnanagar,Near Char Gate Pantha Tirtha,nadia,west bengal,east,in,741101,23.39862902,88.47631739,,True,True,Pantaloons,,,https://maps.google.com/maps?cid=2234311457701929260,4.117043121149897,487
0b38be4a-79a4-43d5-b725-25fdb37b7832,01ca273f-610c-4686-a319-46317c4515b8,p607,Pantaloons,pantaloons-yywmw2vfhyw0hec,,08929146585,,"Plot Bearing No G1 & F1, Ground and First Floor, Mall of Avadh",Niyawan Road,Infront Of Petrol Pump,faizabad,uttar pradesh,north,,224001,26.78367623,82.14422953,,True,True,Pantaloons,,,https://maps.google.com/maps?cid=11527025701159789091,4.5,16
0c90f61f-32d3-43f1-9de9-4dd2a8dfc424,01ca273f-610c-4686-a319-46317c4515b8,p381,Pantaloons,pantaloons-5dq17cupofxnv9q,,09791711929,,"Rajas Mall, Ground & First Floor, No 14-E, Rajakamangalam Road",Chettikulam Junction,Inside Rajas Mall,nagercoil,tamil nadu,south,in,629001,8.174280691,77.43095574,,True,True,Pantaloons,,,https://maps.google.com/maps?cid=2266649291821348726,3.9,50
0d1bc89f-3103-4f30-8f50-2ef5f95d26bf,01ca273f-610c-4686-a319-46317c4515b8,p682,Pantaloons,pantaloons-27ekyythfw5vz6g,,08202522870,,"Nexus Fiza Mall, Unit No 03A, First Floor, Mangaladevi Temple Road",Pandeshwar,Opposite to Union Bank Head office,mangaluru,karnataka,south,in,575001,12.85758672,74.83792674,,True,True,Pantaloons,,,https://maps.google.com/maps?cid=15504703994978235544,4.134831460674158,89
0d460bd5-0894-4618-bff5-61641115356d,01ca273f-610c-4686-a319-46317c4515b8,p153,Pantaloons,pantaloons-wl5a6l0l09bxsas,,08727874959,,"Urban Estate Phase 2, 66 Feet Road",Lohar Nangal,Near Dimond Hotle,jalandhar,punjab,north,in,144002,31.2815271,75.58793408,,True,True,Pantaloons,,,https://maps.google.com/maps?cid=18430649498025480148,4.3076923076923075,312
